2017-12-09 19:18:51 status unpacked libdb5.3:armhf 5.3.28-11
2017-12-09 19:18:52 install libdebconfclient0:armhf <none> 0.198ubuntu1
2017-12-09 19:18:52 status half-installed libdebconfclient0:armhf 0.198ubuntu1
2017-12-09 19:18:52 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2017-12-09 19:18:52 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2017-12-09 19:18:52 install libdevmapper1.02.1:armhf <none> 2:1.02.110-1ubuntu10
2017-12-09 19:18:52 status half-installed libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2017-12-09 19:18:52 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2017-12-09 19:18:52 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2017-12-09 19:18:53 install libfdisk1:armhf <none> 2.27.1-6ubuntu3
2017-12-09 19:18:53 status half-installed libfdisk1:armhf 2.27.1-6ubuntu3
2017-12-09 19:18:53 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2017-12-09 19:18:53 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2017-12-09 19:18:53 install libgcc1:armhf <none> 1:6.0.1-0ubuntu1
2017-12-09 19:18:53 status half-installed libgcc1:armhf 1:6.0.1-0ubuntu1
2017-12-09 19:18:53 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2017-12-09 19:18:53 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2017-12-09 19:18:54 install libgcrypt20:armhf <none> 1.6.5-2
2017-12-09 19:18:54 status half-installed libgcrypt20:armhf 1.6.5-2
2017-12-09 19:18:54 status unpacked libgcrypt20:armhf 1.6.5-2
2017-12-09 19:18:54 status unpacked libgcrypt20:armhf 1.6.5-2
2017-12-09 19:18:54 install libgpg-error0:armhf <none> 1.21-2ubuntu1
2017-12-09 19:18:54 status half-installed libgpg-error0:armhf 1.21-2ubuntu1
2017-12-09 19:18:54 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2017-12-09 19:18:55 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2017-12-09 19:18:55 install libkmod2:armhf <none> 22-1ubuntu4
2017-12-09 19:18:55 status half-installed libkmod2:armhf 22-1ubuntu4
2017-12-09 19:18:55 status unpacked libkmod2:armhf 22-1ubuntu4
2017-12-09 19:18:55 status unpacked libkmod2:armhf 22-1ubuntu4
2017-12-09 19:18:55 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu2
2017-12-09 19:18:55 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2017-12-09 19:18:56 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2017-12-09 19:18:56 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2017-12-09 19:18:56 install libmount1:armhf <none> 2.27.1-6ubuntu3
2017-12-09 19:18:56 status half-installed libmount1:armhf 2.27.1-6ubuntu3
2017-12-09 19:18:56 status unpacked libmount1:armhf 2.27.1-6ubuntu3
2017-12-09 19:18:56 status unpacked libmount1:armhf 2.27.1-6ubuntu3
2017-12-09 19:18:56 install libncurses5:armhf <none> 6.0+20160213-1ubuntu1
2017-12-09 19:18:56 status half-installed libncurses5:armhf 6.0+20160213-1ubuntu1
2017-12-09 19:18:57 status unpacked libncurses5:armhf 6.0+20160213-1ubuntu1
2017-12-09 19:18:57 status unpacked libncurses5:armhf 6.0+20160213-1ubuntu1
2017-12-09 19:18:57 install libncursesw5:armhf <none> 6.0+20160213-1ubuntu1
2017-12-09 19:18:57 status half-installed libncursesw5:armhf 6.0+20160213-1ubuntu1
2017-12-09 19:18:57 status unpacked libncursesw5:armhf 6.0+20160213-1ubuntu1
2017-12-09 19:18:57 status unpacked libncursesw5:armhf 6.0+20160213-1ubuntu1
2017-12-09 19:18:57 install libpam-modules:armhf <none> 1.1.8-3.2ubuntu2
2017-12-09 19:18:57 status half-installed libpam-modules:armhf 1.1.8-3.2ubuntu2
2017-12-09 19:18:58 status unpacked libpam-modules:armhf 1.1.8-3.2ubuntu2
2017-12-09 19:18:58 status unpacked libpam-modules:armhf 1.1.8-3.2ubuntu2
2017-12-09 19:18:58 install libpam-modules-bin:armhf <none> 1.1.8-3.2ubuntu2
2017-12-09 19:18:58 status half-installed libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2017-12-09 19:18:59 status unpacked libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2017-12-09 19:18:59 status unpacked libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2017-12-09 19:18:59 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2017-12-09 19:18:59 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2017-12-09 19:18:59 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-12-09 19:18:59 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-12-09 19:19:00 install libpam0g:armhf <none> 1.1.8-3.2ubuntu2
2017-12-09 19:19:00 status half-installed libpam0g:armhf 1.1.8-3.2ubuntu2
2017-12-09 19:19:00 status unpacked libpam0g:armhf 1.1.8-3.2ubuntu2
2017-12-09 19:19:00 status unpacked libpam0g:armhf 1.1.8-3.2ubuntu2
2017-12-09 19:19:00 install libpcre3:armhf <none> 2:8.38-3.1
2017-12-09 19:19:00 status half-installed libpcre3:armhf 2:8.38-3.1
2017-12-09 19:19:00 status unpacked libpcre3:armhf 2:8.38-3.1
2017-12-09 19:19:00 status unpacked libpcre3:armhf 2:8.38-3.1
2017-12-09 19:19:01 install libprocps4:armhf <none> 2:3.3.10-4ubuntu2
2017-12-09 19:19:01 status half-installed libprocps4:armhf 2:3.3.10-4ubuntu2
2017-12-09 19:19:01 status unpacked libprocps4:armhf 2:3.3.10-4ubuntu2
2017-12-09 19:19:01 status unpacked libprocps4:armhf 2:3.3.10-4ubuntu2
2017-12-09 19:19:01 install libseccomp2:armhf <none> 2.2.3-3ubuntu3
2017-12-09 19:19:01 status half-installed libseccomp2:armhf 2.2.3-3ubuntu3
2017-12-09 19:19:01 status unpacked libseccomp2:armhf 2.2.3-3ubuntu3
2017-12-09 19:19:01 status unpacked libseccomp2:armhf 2.2.3-3ubuntu3
2017-12-09 19:19:01 install libselinux1:armhf <none> 2.4-3build2
2017-12-09 19:19:01 status half-installed libselinux1:armhf 2.4-3build2
2017-12-09 19:19:02 status unpacked libselinux1:armhf 2.4-3build2
2017-12-09 19:19:02 status unpacked libselinux1:armhf 2.4-3build2
2017-12-09 19:19:02 install libsemanage-common:all <none> 2.3-1build3
2017-12-09 19:19:02 status half-installed libsemanage-common:all 2.3-1build3
2017-12-09 19:19:02 status unpacked libsemanage-common:all 2.3-1build3
2017-12-09 19:19:02 status unpacked libsemanage-common:all 2.3-1build3
2017-12-09 19:19:02 install libsemanage1:armhf <none> 2.3-1build3
2017-12-09 19:19:02 status half-installed libsemanage1:armhf 2.3-1build3
2017-12-09 19:19:03 status unpacked libsemanage1:armhf 2.3-1build3
2017-12-09 19:19:03 status unpacked libsemanage1:armhf 2.3-1build3
2017-12-09 19:19:03 install libsepol1:armhf <none> 2.4-2
2017-12-09 19:19:03 status half-installed libsepol1:armhf 2.4-2
2017-12-09 19:19:03 status unpacked libsepol1:armhf 2.4-2
